ANIO,MES,NSELV,UBIGEO,Parentesco_con_jefe_hogar,sexo,edad,idioma_ninez,nivel_educativo,centro_estudios_E_P
2020,1,10,240201,1,1,43,4,6,
2020,1,10,240201,2,2,43,4,6,
2020,1,10,240201,3,2,11,4,3,1
2020,1,10,240201,3,1,22,4,6,
2020,1,10,240201,4,1,27,4,6,
2020,1,10,240201,5,1,6,4,2,1
2020,1,10,240201,5,2,1,,,
2020,1,34,240201,1,1,37,4,9,
2020,1,34,240201,2,2,38,4,6,
2020,1,34,240201,3,1,14,4,5,1
2020,1,34,240201,3,2,11,4,3,1
2020,1,34,240201,3,2,1,,,
2020,1,88,240201,1,1,74,4,3,
2020,1,88,240201,3,2,31,4,9,
2020,1,88,240201,4,1,36,4,9,
2020,1,88,240201,5,2,6,4,2,1
2020,1,102,240201,1,1,52,4,5,
2020,1,102,240201,2,2,39,4,6,
2020,1,102,240201,3,2,7,4,3,1
2020,1,102,240201,3,,,,,
2020,1,139,240201,1,1,36,4,5,
2020,1,139,240201,2,2,29,4,5,
2020,1,139,240201,3,1,13,4,5,1
2020,1,139,240201,3,1,13,4,5,1
2020,1,139,240201,3,2,7,4,3,1
2019,6,1,240202,1,1,46,,4,
2019,6,1,240202,2,2,54,,4,
2019,6,39,240202,1,2,54,,4,
2019,6,40,240202,1,1,38,,6,
2019,6,40,240202,6,2,78,,3,
2019,6,41,240202,1,2,27,,5,
2019,6,41,240202,3,2,9,,3,1
2019,6,41,240202,3,2,3,,1,1
2019,6,42,240202,1,1,61,,4,
2019,6,42,240202,2,2,56,,4,
2019,6,42,240202,11,1,46,,6,
2019,6,44,240202,1,1,39,,4,
2019,6,44,240202,2,2,26,,4,
2019,6,44,240202,3,2,7,,3,1
2019,6,44,240202,3,2,2,,,
2019,6,81,240202,1,1,45,,4,
2019,6,81,240202,2,2,43,,4,
2019,6,81,240202,3,2,14,,5,1
2019,6,88,240202,1,1,68,,6,
2019,6,88,240202,2,2,52,,3,
2019,6,89,240202,1,1,38,,5,
2019,6,89,240202,2,2,34,,5,
2019,6,89,240202,3,1,8,,3,1
2019,6,89,240202,3,2,18,,6,1
2019,6,89,240202,5,2,,,,
2019,6,90,240202,1,1,70,,4,
2019,6,91,240202,1,1,60,,5,
2019,6,92,240202,1,1,85,,1,
2020,2,1,240203,1,1,39,4,10,
2020,2,1,240203,3,1,14,4,5,1
2020,2,1,240203,3,1,7,4,3,1
2020,2,1,240203,3,1,3,4,1,
2020,2,3,240203,1,1,40,4,4,
2020,2,3,240203,2,2,36,4,4,
2020,2,3,240203,3,1,10,4,3,1
2020,2,3,240203,3,2,6,4,2,1
2020,2,3,240203,3,2,19,4,6,
2020,2,3,240203,3,2,1,,,
2020,2,5,240203,1,1,30,4,8,
2020,2,5,240203,2,2,30,4,6,
2020,2,5,240203,3,2,11,4,3,1
2020,2,5,240203,3,1,6,4,2,1
